@relation 'yeast'

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {cyt,nuc,mit,me3,me2,me1,exc,vac,pox,erl}

@data
0.58,0.48,0.56,0.12,0.50,0.00,0.46,0.25,nuc
0.58,0.45,0.48,0.24,0.50,0.00,0.52,0.37,cyt
0.58,0.41,0.51,0.26,0.50,0.00,0.51,0.37,cyt
0.41,0.60,0.53,0.29,0.50,0.00,0.47,0.43,nuc
0.69,0.50,0.49,0.42,0.50,0.00,0.49,0.22,mit
0.38,0.49,0.61,0.13,0.50,0.00,0.54,0.22,cyt
0.60,0.48,0.44,0.52,0.50,0.00,0.54,0.63,nuc
0.47,0.49,0.63,0.17,0.50,0.00,0.31,0.26,nuc
0.28,0.51,0.55,0.11,0.50,0.00,0.46,0.22,nuc
0.56,0.57,0.63,0.39,1.00,0.00,0.59,0.40,nuc
0.21,0.38,0.49,0.16,0.50,0.00,0.51,0.45,cyt
0.46,0.57,0.57,0.15,0.50,0.00,0.52,0.26,nuc
0.43,0.42,0.54,0.22,0.50,0.00,0.57,0.33,nuc
0.57,0.59,0.50,0.58,0.50,0.00,0.53,0.22,mit
0.48,0.34,0.47,0.14,0.50,0.00,0.47,0.26,cyt
0.35,0.40,0.53,0.18,0.50,0.00,0.42,0.38,cyt
0.47,0.45,0.53,0.62,0.50,0.00,0.46,0.22,mit
0.53,0.43,0.47,0.15,0.50,0.00,0.58,0.22,cyt
0.46,0.45,0.56,0.16,0.50,0.00,0.56,0.22,cyt
0.44,0.42,0.62,0.14,0.50,0.00,0.55,0.37,nuc
0.37,0.34,0.58,0.24,0.50,0.00,0.44,0.18,nuc
0.37,0.34,0.58,0.24,0.50,0.00,0.44,0.18,nuc
0.39,0.39,0.55,0.52,0.50,0.00,0.37,0.16,nuc
0.39,0.39,0.55,0.52,0.50,0.00,0.37,0.16,nuc
0.48,0.46,0.38,0.29,0.50,0.00,0.53,0.22,me3
0.48,0.57,0.50,0.09,0.50,0.00,0.52,0.42,nuc
0.61,0.57,0.45,0.21,0.50,0.00,0.50,0.42,nuc
0.56,0.44,0.56,0.19,0.50,0.00,0.54,0.22,cyt
0.51,0.63,0.30,0.35,0.50,0.00,0.53,0.27,me3
0.53,0.68,0.34,0.42,0.50,0.00,0.54,0.27,me3
0.37,0.22,0.64,0.35,0.50,0.00,0.47,0.22,nuc
0.51,0.48,0.58,0.22,0.50,0.00,0.50,0.28,nuc
0.49,0.37,0.59,0.17,0.50,0.00,0.51,0.22,nuc
0.51,0.48,0.58,0.22,0.50,0.00,0.50,0.28,nuc
0.53,0.53,0.53,0.17,0.50,0.00,0.49,0.37,nuc
0.29,0.68,0.47,0.26,0.50,0.00,0.47,0.37,nuc
0.50,0.45,0.49,0.15,0.50,0.00,0.55,0.43,nuc
0.33,0.28,0.31,0.24,0.50,0.00,0.53,0.22,me3
0.85,0.85,0.30,0.31,0.50,0.00,0.55,0.42,me1
0.43,0.39,0.51,0.28,0.50,0.00,0.40,0.22,nuc
0.61,0.54,0.49,0.16,0.50,0.00,0.54,0.42,cyt
0.34,0.35,0.61,0.19,0.50,0.00,0.52,0.25,nuc
0.55,0.53,0.56,0.29,0.50,0.00,0.48,0.22,mit
0.66,0.62,0.52,0.17,0.50,0.00,0.49,0.22,cyt
0.44,0.41,0.58,0.20,0.50,0.00,0.57,0.25,cyt
0.37,0.62,0.34,0.25,0.50,0.00,0.51,0.22,me3
0.45,0.56,0.51,0.64,0.50,0.00,0.54,0.22,mit
0.38,0.46,0.52,0.75,0.50,0.00,0.50,0.26,mit
0.61,0.54,0.49,0.19,0.50,0.00,0.54,0.47,cyt
0.44,0.53,0.52,0.37,0.50,0.00,0.50,0.22,nuc
0.44,0.53,0.52,0.37,0.50,0.00,0.50,0.22,nuc
0.32,0.34,0.61,0.17,0.50,0.00,0.52,0.32,nuc
0.34,0.34,0.61,0.18,0.50,0.00,0.52,0.32,nuc
0.51,0.68,0.49,0.59,0.50,0.00,0.54,0.27,mit
0.41,0.30,0.49,0.28,0.50,0.00,0.54,0.22,cyt
0.41,0.43,0.50,0.28,0.50,0.00,0.50,0.22,cyt
0.30,0.50,0.34,0.26,0.50,0.00,0.51,0.22,me3
0.49,0.40,0.34,0.26,0.50,0.00,0.50,0.22,me3
0.34,0.40,0.30,0.23,0.50,0.00,0.51,0.22,me3
0.43,0.44,0.30,0.18,0.50,0.00,0.51,0.22,me3
0.43,0.45,0.37,0.12,0.50,0.00,0.48,0.22,me3
0.45,0.57,0.30,0.17,0.50,0.00,0.51,0.22,me3
0.45,0.57,0.30,0.17,0.50,0.00,0.51,0.22,me3
0.42,0.44,0.33,0.17,0.50,0.00,0.54,0.27,me3
0.52,0.50,0.53,0.10,0.50,0.00,0.48,0.22,pox
0.53,0.56,0.49,0.46,0.50,0.00,0.52,0.22,mit
0.45,0.54,0.54,0.62,0.50,0.00,0.53,0.22,mit
0.51,0.43,0.63,0.18,0.50,0.00,0.52,0.22,cyt
0.51,0.52,0.48,0.50,0.50,0.00,0.51,0.22,mit
0.55,0.49,0.50,0.46,0.50,0.00,0.52,0.25,mit
0.50,0.46,0.52,0.16,0.50,0.00,0.52,0.26,cyt
0.50,0.53,0.45,0.44,0.50,0.00,0.49,0.22,mit
0.45,0.59,0.53,0.74,0.50,0.00,0.47,0.25,mit
0.57,0.61,0.55,0.67,0.50,0.00,0.48,0.22,mit
0.54,0.45,0.62,0.13,0.50,0.00,0.52,0.26,nuc
0.67,0.51,0.53,0.28,0.50,0.00,0.51,0.22,mit
0.35,0.49,0.47,0.22,0.50,0.00,0.50,0.28,mit
0.47,0.63,0.66,0.45,0.50,0.00,0.37,0.11,mit
0.51,0.34,0.43,0.18,0.50,0.00,0.48,0.25,cyt
0.56,0.45,0.59,0.14,0.50,0.00,0.51,0.26,nuc
0.45,0.38,0.59,0.18,0.50,0.00,0.44,0.45,nuc
0.43,0.51,0.60,0.25,0.50,0.00,0.55,0.22,cyt
0.47,0.59,0.43,0.13,0.50,0.00,0.56,0.30,me3
0.40,0.45,0.42,0.17,0.50,0.00,0.54,0.26,me3
0.89,0.81,0.36,0.71,0.50,0.00,0.55,0.63,me1
0.58,0.55,0.52,0.22,0.50,0.00,0.44,0.22,mit
0.59,0.57,0.46,0.14,0.50,0.00,0.52,0.22,mit
0.49,0.41,0.32,0.21,0.50,0.00,0.50,0.32,me3
0.35,0.53,0.35,0.33,0.50,0.00,0.50,0.32,me3
0.42,0.32,0.61,0.13,0.50,0.00,0.14,0.27,nuc
0.50,0.46,0.42,0.32,0.50,0.00,0.56,0.55,me3
0.68,0.50,0.43,0.27,0.50,0.00,0.61,0.22,me2
0.50,0.45,0.49,0.30,0.50,0.00,0.47,0.40,nuc
0.46,0.41,0.50,0.44,0.50,0.00,0.53,0.22,mit
0.32,0.36,0.34,0.19,0.50,0.00,0.55,0.26,me3
0.40,0.51,0.42,0.13,0.50,0.00,0.45,0.25,me3
0.70,0.73,0.37,0.37,0.50,0.00,0.48,0.31,me1
0.81,0.76,0.32,0.37,0.50,0.00,0.51,0.22,me2
0.65,0.61,0.39,0.30,0.50,0.00,0.57,0.28,me3
0.47,0.43,0.35,0.32,0.50,0.00,0.54,0.22,me3
0.42,0.25,0.60,0.14,0.50,0.00,0.45,0.22,cyt
0.23,0.34,0.41,0.28,0.50,0.00,0.50,0.27,nuc
0.85,0.56,0.33,0.38,1.00,0.00,0.55,0.25,erl
0.34,0.31,0.60,0.37,0.50,0.00,0.50,0.30,nuc
0.59,0.53,0.47,0.26,0.50,0.00,0.53,0.31,nuc
0.67,0.63,0.34,0.41,0.50,0.00,0.60,0.33,me1
0.70,0.73,0.38,0.36,0.50,0.00,0.54,0.22,me1
0.54,0.51,0.54,0.52,0.50,0.00,0.47,0.25,mit
0.53,0.50,0.54,0.56,0.50,0.00,0.49,0.41,mit
0.84,0.63,0.38,0.23,0.50,0.00,0.53,0.22,exc
0.89,0.77,0.36,0.34,0.50,0.00,0.44,0.22,exc
0.48,0.43,0.45,0.17,0.50,0.00,0.48,0.37,me3
0.36,0.35,0.47,0.22,0.50,0.00,0.44,0.31,me3
0.57,0.49,0.48,0.16,0.50,0.00,0.51,0.22,nuc
0.43,0.52,0.53,0.52,1.00,0.00,0.49,0.22,cyt
0.38,0.49,0.54,1.00,0.50,0.00,0.50,0.27,cyt
0.43,0.32,0.56,0.27,0.50,0.00,0.47,0.27,nuc
0.84,0.87,0.45,0.54,0.50,0.00,0.28,0.22,me1
0.27,0.56,0.56,0.18,0.50,0.00,0.52,0.22,cyt
0.89,0.82,0.60,0.49,0.50,0.00,0.55,0.22,me2
0.86,0.92,0.50,0.37,1.00,0.00,0.53,0.32,erl
0.37,0.55,0.29,0.32,0.50,0.00,0.51,0.22,me3
0.87,0.83,0.57,0.36,0.50,0.00,0.36,0.22,exc
0.43,0.45,0.54,0.14,0.50,0.00,0.50,0.31,cyt
0.52,0.48,0.54,0.28,0.50,0.00,0.54,0.22,nuc
0.77,0.60,0.42,0.33,0.50,0.00,0.57,0.22,me2
0.76,0.74,0.56,0.34,0.50,0.00,0.51,0.30,me2
0.58,0.76,0.40,0.37,0.50,0.00,0.54,0.30,me2
0.94,0.60,0.33,0.49,0.50,0.00,0.54,0.22,me2
0.36,0.44,0.57,0.18,0.50,0.00,0.42,0.22,mit
0.42,0.51,0.39,0.22,0.50,0.00,0.49,0.26,me3
0.52,0.48,0.58,0.55,0.50,0.00,0.48,0.22,cyt
0.42,0.32,0.48,0.16,0.50,0.00,0.55,0.22,vac
0.43,0.38,0.51,0.24,0.50,0.00,0.46,0.33,nuc
0.48,0.57,0.52,0.61,0.50,0.00,0.51,0.22,mit
0.83,0.53,0.52,0.20,0.50,0.00,0.48,0.25,me2
0.36,0.34,0.46,0.19,0.50,0.00,0.52,0.22,me2
0.51,0.43,0.47,0.19,0.50,0.00,0.52,0.37,cyt
0.54,0.54,0.49,0.14,0.50,0.00,0.56,0.22,cyt
0.44,0.41,0.44,0.13,0.50,0.00,0.49,0.42,nuc
0.52,0.62,0.54,0.19,0.50,0.00,0.50,0.22,mit
0.46,0.40,0.38,0.18,0.50,0.00,0.49,0.22,me3
0.68,0.50,0.55,0.65,0.50,0.00,0.46,0.31,mit
0.53,0.44,0.47,0.22,0.50,0.00,0.53,0.22,nuc
0.48,0.48,0.50,0.47,0.50,0.00,0.55,0.22,mit
0.46,0.14,0.36,0.21,0.50,0.00,0.50,0.25,me3
0.50,0.45,0.48,0.17,0.50,0.00,0.50,0.26,cyt
0.44,0.53,0.43,0.17,0.50,0.00,0.54,0.75,nuc
0.46,0.47,0.46,0.16,0.50,0.00,0.51,0.22,cyt
0.52,0.49,0.57,0.57,0.50,0.00,0.51,0.22,nuc
0.62,0.64,0.56,0.20,0.50,0.00,0.48,0.33,nuc
0.46,0.32,0.58,0.17,0.50,0.00,0.61,0.25,nuc
0.78,0.48,0.47,0.30,0.50,0.00,0.53,0.47,me2
0.49,0.62,0.65,0.18,0.50,0.00,0.46,0.43,nuc
0.50,0.34,0.62,0.19,0.50,0.00,0.57,0.22,cyt
0.39,0.37,0.33,0.23,0.50,0.00,0.53,0.26,me3
0.39,0.37,0.56,0.15,0.50,0.00,0.50,0.27,cyt
0.33,0.37,0.54,0.28,0.50,0.00,0.53,0.27,nuc
0.39,0.37,0.33,0.23,0.50,0.00,0.52,0.26,me3
0.33,0.38,0.53,0.26,0.50,0.00,0.52,0.27,nuc
0.48,0.51,0.57,0.24,0.50,0.00,0.50,0.22,cyt
0.50,0.62,0.54,0.66,0.50,0.00,0.49,0.22,mit
0.47,0.54,0.54,0.48,0.50,0.00,0.53,0.26,mit
0.72,0.58,0.42,0.28,0.50,0.00,0.48,0.22,mit
0.41,0.41,0.51,0.19,0.50,0.00,0.57,0.22,mit
0.81,0.65,0.52,0.41,0.50,0.00,0.57,0.26,mit
0.50,0.49,0.52,0.20,0.50,0.00,0.43,0.52,nuc
0.18,0.48,0.46,0.12,0.50,0.00,0.00,0.25,nuc
0.26,0.38,0.52,0.36,0.50,0.00,0.48,0.56,nuc
0.53,0.51,0.51,0.11,0.50,0.00,0.49,0.41,nuc
0.58,0.49,0.50,0.41,0.50,0.00,0.57,0.22,mit
0.62,0.60,0.47,0.16,0.50,0.00,0.53,0.22,cyt
0.68,0.58,0.51,0.19,0.50,0.83,0.54,0.22,pox
0.40,0.52,0.53,0.52,0.50,0.00,0.51,0.22,mit
0.51,0.47,0.41,0.44,0.50,0.00,0.50,0.22,me3
0.72,0.56,0.40,0.26,0.50,0.00,0.51,0.26,me2
0.49,0.44,0.45,0.22,0.50,0.00,0.51,0.22,cyt
0.32,0.47,0.55,0.25,0.50,0.00,0.49,0.22,mit
0.46,0.57,0.52,0.28,0.50,0.00,0.52,0.22,nuc
0.53,0.48,0.45,0.44,0.50,0.00,0.49,0.27,mit
0.49,0.48,0.46,0.63,0.50,0.00,0.52,0.22,mit
0.70,0.53,0.42,0.22,0.50,0.00,0.51,0.28,nuc
0.68,0.68,0.49,0.15,0.50,0.00,0.53,0.22,exc
0.47,0.60,0.35,0.21,0.50,0.00,0.52,0.22,me3
0.55,0.49,0.45,0.18,0.50,0.00,0.49,0.22,nuc
0.40,0.53,0.61,0.21,0.50,0.00,0.48,0.33,nuc
0.57,0.44,0.42,0.20,0.50,0.00,0.54,0.22,cyt
0.40,0.47,0.48,0.18,0.50,0.00,0.46,0.22,cyt
0.34,0.54,0.54,0.13,0.50,0.00,0.52,0.22,cyt
0.43,0.83,0.55,0.20,0.50,0.00,0.47,0.40,nuc
0.55,0.65,0.50,0.28,0.50,0.00,0.55,0.22,nuc
0.29,0.46,0.54,0.27,0.50,0.00,0.49,0.22,cyt
0.46,0.42,0.60,0.21,0.50,0.00,0.40,0.22,exc
0.80,0.81,0.55,0.35,0.50,0.00,0.42,0.22,exc
0.79,0.74,0.49,0.33,0.50,0.00,0.48,0.22,exc
0.45,0.48,0.63,0.67,0.50,0.00,0.48,0.22,mit
0.66,0.52,0.52,0.44,0.50,0.00,0.56,0.27,mit
0.50,0.49,0.59,0.47,0.50,0.00,0.49,0.36,mit
0.54,0.52,0.54,0.20,0.50,0.00,0.55,0.25,nuc
0.37,0.31,0.53,0.16,0.50,0.00,0.53,0.44,nuc
0.43,0.39,0.59,0.13,0.50,0.00,0.41,0.43,nuc
0.48,0.47,0.54,0.55,0.50,0.00,0.51,0.65,mit
0.60,0.59,0.45,0.23,0.50,0.00,0.55,0.22,mit
0.45,0.73,0.47,0.65,0.50,0.00,0.54,0.43,mit
0.66,0.54,0.49,0.16,0.50,0.00,0.54,0.36,nuc
0.46,0.55,0.61,0.13,0.50,0.00,0.47,0.22,cyt
0.42,0.50,0.53,0.22,0.50,0.83,0.50,0.22,pox
0.66,0.66,0.32,0.54,0.50,0.00,0.51,0.22,me2
0.74,0.56,0.35,0.36,0.50,0.00,0.51,0.25,me2
0.89,0.52,0.41,0.26,0.50,0.00,0.52,0.31,me2
0.67,0.51,0.54,0.21,0.50,0.00,0.43,0.30,mit
0.58,0.46,0.46,0.34,0.50,0.00,0.50,0.43,nuc
0.40,0.68,0.50,0.82,0.50,0.00,0.44,0.36,mit
0.59,0.57,0.43,0.26,0.50,0.00,0.51,0.22,mit
0.39,0.30,0.56,0.12,0.50,0.00,0.53,0.38,nuc
0.60,0.62,0.54,0.40,0.50,0.00,0.50,0.22,mit
0.36,0.40,0.53,0.48,0.50,0.00,0.48,0.22,mit
0.51,0.42,0.56,0.38,0.50,0.00,0.46,0.22,mit
0.41,0.54,0.58,0.20,0.50,0.00,0.52,0.22,mit
0.57,0.40,0.62,0.30,0.50,0.00,0.48,0.11,mit
0.52,0.50,0.59,0.31,0.50,0.00,0.50,0.22,mit
0.42,0.53,0.53,0.64,0.50,0.00,0.47,0.22,mit
0.50,0.46,0.64,0.36,0.50,0.00,0.49,0.22,mit
0.60,0.51,0.60,0.38,0.50,0.83,0.52,0.24,mit
0.45,0.38,0.64,0.14,0.50,0.00,0.54,0.22,mit
0.60,0.57,0.64,0.52,0.50,0.00,0.47,0.28,mit
0.53,0.42,0.58,0.29,0.50,0.00,0.50,0.22,mit
0.41,0.52,0.53,0.41,0.50,0.00,0.39,0.33,mit
0.45,0.43,0.63,0.40,0.50,0.00,0.59,0.11,mit
0.44,0.44,0.67,0.35,0.50,0.00,0.48,0.26,mit
0.58,0.52,0.61,0.33,0.50,0.00,0.38,0.11,mit
0.57,0.61,0.55,0.27,0.50,0.00,0.44,0.21,mit
0.57,0.58,0.58,0.35,0.50,0.00,0.49,0.22,mit
0.64,0.64,0.56,0.21,0.50,0.00,0.50,0.22,mit
0.56,0.50,0.61,0.49,0.50,0.00,0.46,0.28,mit
0.60,0.46,0.59,0.16,0.50,0.00,0.49,0.22,mit
0.36,0.38,0.56,0.44,0.50,0.00,0.48,0.22,mit
0.53,0.52,0.61,0.35,0.50,0.00,0.50,0.22,mit
0.62,0.59,0.54,0.47,0.50,0.00,0.46,0.22,mit
0.55,0.50,0.60,0.31,0.50,0.00,0.46,0.27,mit
0.58,0.53,0.57,0.46,0.50,0.00,0.51,0.27,mit
0.65,0.53,0.55,0.52,0.50,0.00,0.47,0.27,mit
0.38,0.54,0.54,0.41,0.50,0.00,0.51,0.22,mit
0.58,0.53,0.50,0.53,0.50,0.00,0.47,0.31,mit
0.61,0.46,0.51,0.37,0.50,0.00,0.51,0.22,mit
0.55,0.59,0.47,0.64,0.50,0.00,0.54,0.33,mit
0.54,0.64,0.50,0.13,0.50,0.00,0.49,0.22,mit
0.40,0.74,0.49,0.16,0.50,0.00,0.51,0.22,mit
0.76,0.76,0.35,0.27,0.50,0.00,0.44,0.22,me1
0.51,0.56,0.51,0.42,0.50,0.00,0.53,0.36,mit
0.43,0.32,0.50,0.29,0.50,0.00,0.50,0.22,mit
0.49,0.44,0.45,0.55,0.50,0.00,0.48,0.22,mit
0.32,0.45,0.44,0.20,0.50,0.00,0.55,0.33,nuc
0.51,0.60,0.51,0.26,0.50,0.00,0.54,0.22,nuc
0.49,0.46,0.42,0.46,0.50,0.00,0.55,0.22,nuc
0.50,0.56,0.49,0.61,0.50,0.00,0.50,0.22,mit
0.51,0.48,0.51,0.43,0.50,0.00,0.49,0.22,mit
0.52,0.38,0.62,0.12,0.50,0.00,0.41,0.28,nuc
0.53,0.40,0.57,0.12,0.50,0.00,0.53,0.32,nuc
0.51,0.56,0.62,0.24,0.50,0.00,0.52,0.51,nuc
0.63,0.60,0.50,0.27,0.50,0.00,0.55,0.22,mit
0.46,0.44,0.53,0.31,0.50,0.00,0.48,0.22,mit
0.58,0.57,0.54,0.69,0.50,0.00,0.54,0.22,mit
0.61,0.59,0.47,0.49,0.50,0.00,0.54,0.22,mit
0.63,0.47,0.56,0.12,0.50,0.00,0.50,0.22,mit
0.55,0.53,0.54,0.40,0.50,0.00,0.48,0.22,mit
0.41,0.47,0.58,0.62,0.50,0.00,0.50,0.22,mit
0.44,0.53,0.53,0.37,0.50,0.00,0.51,0.22,mit
0.57,0.40,0.48,0.24,0.50,0.00,0.55,0.22,cyt
0.46,0.46,0.56,0.12,0.50,0.00,0.55,0.22,mit
0.47,0.46,0.55,0.28,0.50,0.00,0.44,0.46,nuc
0.39,0.35,0.49,0.17,0.50,0.00,0.49,0.22,nuc
0.58,0.38,0.40,0.21,0.50,0.00,0.50,0.22,cyt
0.53,0.41,0.50,0.24,1.00,0.00,0.47,0.22,cyt
0.43,0.40,0.50,0.18,0.50,0.00,0.50,0.28,cyt
0.41,0.59,0.46,0.19,0.50,0.00,0.36,0.22,exc
0.58,0.56,0.52,0.25,0.50,0.00,0.57,0.35,nuc
0.51,0.65,0.53,0.19,0.50,0.00,0.49,0.22,exc
0.81,0.79,0.32,0.37,0.50,0.00,0.41,0.22,me1
0.44,0.41,0.29,0.21,0.50,0.00,0.49,0.22,me3
0.49,0.60,0.55,0.17,0.50,0.00,0.44,0.22,cyt
0.56,0.63,0.52,0.20,0.50,0.00,0.34,0.26,nuc
0.42,0.28,0.57,0.18,0.50,0.00,0.42,0.22,nuc
0.51,0.46,0.54,0.41,0.50,0.00,0.53,0.22,mit
0.60,0.51,0.52,0.45,0.50,0.00,0.50,0.27,mit
0.37,0.41,0.45,0.14,0.50,0.00,0.47,0.22,cyt
0.37,0.51,0.57,0.40,0.50,0.00,0.48,0.27,mit
0.36,0.39,0.55,0.26,0.50,0.00,0.49,0.22,nuc
0.50,0.36,0.53,0.41,0.50,0.00,0.55,0.36,cyt
0.59,0.58,0.39,0.52,0.50,0.00,0.50,0.31,cyt
0.78,0.63,0.53,0.13,0.50,0.00,0.54,0.22,me2
0.47,0.59,0.37,0.31,0.50,0.00,0.51,0.36,nuc
0.48,0.62,0.52,0.30,0.50,0.00,0.51,0.37,nuc
0.53,0.61,0.51,0.49,0.50,0.00,0.54,0.27,mit
0.48,0.54,0.53,0.60,0.50,0.00,0.53,0.31,nuc
0.33,0.46,0.53,0.29,0.50,0.00,0.50,0.55,nuc
0.36,0.44,0.51,0.17,0.50,0.00,0.60,0.19,nuc
0.39,0.34,0.68,0.30,0.50,0.00,0.50,0.29,nuc
0.11,0.41,0.67,0.13,0.50,0.00,0.45,0.29,nuc
0.40,0.53,0.44,0.18,0.50,0.00,0.54,0.31,nuc
0.47,0.50,0.55,0.19,0.50,0.00,0.62,0.22,cyt
0.35,0.50,0.44,0.27,0.50,0.00,0.51,0.22,cyt
0.36,0.30,0.50,0.19,0.50,0.00,0.55,0.30,nuc
0.49,0.44,0.51,0.18,0.50,0.00,0.52,0.27,cyt
0.35,0.44,0.54,0.26,0.50,0.00,0.52,0.26,nuc
0.43,0.28,0.53,0.34,0.50,0.00,0.55,0.57,nuc
0.33,0.48,0.55,0.16,0.50,0.00,0.53,0.75,nuc
0.45,0.21,0.49,0.24,0.50,0.00,0.46,0.31,nuc
0.44,0.34,0.61,0.13,0.50,0.00,0.49,0.26,nuc
0.87,0.47,0.60,0.47,0.50,0.00,0.59,0.22,nuc
0.30,0.55,0.58,0.16,0.50,0.00,0.61,0.28,nuc
0.29,0.34,0.55,0.24,0.50,0.00,0.51,0.22,cyt
0.75,0.67,0.51,0.29,0.50,0.00,0.52,0.36,mit
0.47,0.47,0.50,0.15,0.50,0.00,0.50,0.48,nuc
0.51,0.34,0.49,0.16,0.50,0.00,0.53,0.21,nuc
0.64,0.76,0.51,0.18,0.50,0.00,0.46,0.22,nuc
0.45,0.41,0.58,0.48,0.50,0.00,0.53,0.64,nuc
0.90,0.54,0.59,0.20,0.50,0.00,0.48,0.22,nuc
0.88,0.59,0.54,0.39,0.50,0.00,0.41,0.30,nuc
0.70,0.51,0.47,0.24,0.50,0.00,0.53,0.25,nuc
0.25,0.36,0.58,0.30,0.50,0.00,0.58,0.31,nuc
0.69,0.62,0.49,0.00,1.00,0.00,0.47,0.22,nuc
0.83,0.57,0.42,0.57,0.50,0.00,0.50,0.32,me2
0.43,0.38,0.38,0.12,0.50,0.00,0.50,0.22,me2
0.78,0.65,0.40,0.16,0.50,0.00,0.63,0.22,mit
0.52,0.64,0.34,0.16,0.50,0.00,0.57,0.22,mit
0.75,0.66,0.64,0.39,0.50,0.00,0.46,0.32,mit
0.41,0.49,0.58,0.22,0.50,0.00,0.52,0.22,mit
0.58,0.51,0.56,0.16,0.50,0.00,0.34,0.22,nuc
0.48,0.49,0.45,0.23,0.50,0.00,0.51,0.22,me3
0.39,0.42,0.49,0.10,0.50,0.00,0.49,0.65,nuc
0.31,0.42,0.48,0.17,0.50,0.00,0.49,0.53,nuc
0.39,0.28,0.54,0.14,0.50,0.00,0.59,0.22,mit
0.76,0.67,0.37,0.22,0.50,0.00,0.54,0.22,me2
0.49,0.27,0.57,0.18,0.50,0.83,0.54,0.22,pox
0.28,0.48,0.56,0.16,0.50,0.00,0.48,0.26,cyt
0.69,0.39,0.52,0.12,0.50,0.00,0.38,0.35,cyt
0.64,0.52,0.50,0.26,0.50,0.00,0.51,0.31,nuc
0.56,0.48,0.50,0.30,0.50,0.00,0.51,0.22,cyt
0.50,0.50,0.54,0.16,0.50,0.00,0.49,0.22,pox
0.47,0.43,0.59,0.27,0.50,0.00,0.55,0.22,pox
0.68,0.59,0.44,0.49,0.50,0.00,0.40,0.26,pox
0.50,0.51,0.57,0.27,0.50,0.00,0.48,0.22,pox
0.45,0.46,0.61,0.20,0.50,0.00,0.62,0.22,cyt
0.53,0.51,0.36,0.13,0.50,0.00,0.52,0.22,me3
0.60,0.54,0.54,0.53,0.50,0.00,0.52,0.27,mit
0.49,0.52,0.53,0.70,0.50,0.00,0.51,0.22,mit
0.49,0.45,0.53,0.16,0.50,0.00,0.49,0.31,cyt
0.51,0.46,0.57,0.25,0.50,0.00,0.53,0.22,cyt
0.49,0.45,0.46,0.18,0.50,0.00,0.49,0.31,cyt
0.52,0.46,0.51,0.18,0.50,0.00,0.50,0.22,cyt
0.55,0.59,0.52,0.10,0.50,0.00,0.53,0.22,cyt
0.39,0.58,0.50,0.10,0.50,0.00,0.51,0.25,cyt
0.70,0.84,0.49,0.28,1.00,0.00,0.58,0.22,erl
0.33,0.38,0.45,0.19,0.50,0.00,0.54,0.37,nuc
0.61,0.46,0.44,0.47,0.50,0.00,0.50,0.37,nuc
0.41,0.48,0.38,0.13,0.50,0.00,0.51,0.35,me3
0.37,0.42,0.60,0.13,0.50,0.00,0.51,0.22,nuc
0.45,0.58,0.59,0.44,0.50,0.00,0.56,0.22,mit
0.74,0.89,0.32,0.24,0.50,0.00,0.54,0.32,me1
0.28,0.46,0.26,0.18,0.50,0.00,0.39,0.22,vac
0.51,0.46,0.49,0.21,0.50,0.00,0.55,0.22,vac
0.80,0.82,0.57,0.26,0.50,0.00,0.57,0.27,vac
0.46,0.49,0.45,0.28,0.50,0.00,0.55,0.22,vac
0.40,0.36,0.55,0.15,0.50,0.00,0.53,0.22,vac
0.67,0.46,0.58,0.30,0.50,0.00,0.57,0.27,nuc
0.50,0.32,0.49,0.49,0.50,0.00,0.48,0.32,mit
0.45,0.53,0.47,0.43,0.50,0.00,0.50,0.27,mit
0.75,0.60,0.43,0.35,0.50,0.00,0.45,0.27,mit
0.56,0.68,0.52,0.39,0.50,0.00,0.36,0.22,mit
0.48,0.45,0.59,0.35,0.50,0.00,0.55,0.30,mit
0.26,0.28,0.60,0.20,0.50,0.00,0.54,0.31,mit
0.59,0.45,0.58,0.21,0.50,0.00,0.49,0.22,mit
0.48,0.52,0.49,0.35,0.50,0.50,0.51,0.22,mit
0.59,0.58,0.47,0.61,0.50,0.00,0.44,0.30,mit
0.50,0.57,0.62,0.25,0.50,0.00,0.51,0.22,mit
0.57,0.49,0.50,0.20,0.50,0.00,0.51,0.28,cyt
0.62,0.43,0.49,0.29,0.50,0.00,0.50,0.27,cyt
0.45,0.41,0.49,0.14,1.00,0.00,0.53,0.30,cyt
0.47,0.49,0.60,0.15,0.50,0.00,0.38,0.22,cyt
0.41,0.48,0.54,0.24,0.50,0.00,0.37,0.51,nuc
0.46,0.46,0.53,0.23,0.50,0.00,0.51,0.22,cyt
0.48,0.42,0.48,0.19,0.50,0.00,0.58,0.22,cyt
0.43,0.45,0.53,0.19,0.50,0.00,0.56,0.22,cyt
0.28,0.36,0.55,0.15,0.50,0.00,0.57,0.22,cyt
0.48,0.46,0.58,0.26,0.50,0.00,0.44,0.22,nuc
0.74,0.72,0.50,0.28,0.50,0.00,0.50,0.27,exc
0.74,0.72,0.50,0.28,0.50,0.00,0.49,0.27,exc
0.38,0.62,0.52,0.14,0.50,0.00,0.53,0.22,cyt
0.77,0.72,0.48,0.26,0.50,0.00,0.51,0.22,exc
0.44,0.42,0.57,0.22,0.50,0.00,0.50,0.25,nuc
